Designation (J2000),Name,Type,Redshift,NH,SpectraName
1231-0224,PKS 1229-02,Q,1.045,2.30,1231-0224oa
1237+1149,NGC 4579,Sy1.9,0.005,3.00,1237+1149oa
1239-1137,NGC 4594,Q,0.004,3.70,1239-1137oa
1240-3645,IC 3639,Sy2,0.011,5.60,1240-3645oa
1250+2631,PG 1247+267,Q,2.038,0.80,1250+2631oa
1250+2631,PG 1247+267,Q,2.038,0.80,1250+2631ob
1250+3016,B2 1248+30,Q,1.061,1.10,1250+3016oa
1250+3125,CSO 173,Q,1.020,1.20,1250+3125oa
1250+3951,PG 1248+401,Q,1.030,1.30,1250+3951oa
1252+2913,CSO 176,Q,0.820,1.10,1252+2913oa
1253+3105,CSO 179,Q,0.780,1.20,1253+3105oa
1256-0547,3C 279,Q,0.536,2.20,1256-0547oa
1256+5652,MRK 231,Sy1,0.042,1.00,1256+5652oa
1301+2819,Q1258+285,Q,1.360,3.00,1301+2819oa
1305-1033,PKS 1302-102,Q,0.278,3.20,1305-1033oa
1307+0642,3C 281,Q,0.602,2.20,1307+0642oa
1310+4601,HS 1307+4617,Q,2.080,1.20,1310+4601oa
1312+3515,PG 1309+355,Sy1.2,0.184,1.00,1312+3515oa
1314+0201,Q1311+0217,Q,0.306,2.00,1314+0201oa
1321+2847,TON 156,Q,0.549,1.20,1321+2847oa
1323+2910,TON 157,Q,0.960,1.10,1323+2910oa
1323+6541,PG 1322+659,Q,0.168,1.80,1323+6541oa
1323+6541,PG 1322+659,Q,0.168,1.80,1323+6541ob
1324+0537,IRAS 1321+0552,Q,0.205,2.30,1324+0537oa
1325+6515,4C 65.15,Q,1.618,1.90,1325+6515oa
1331+3030,3C 286.0,Q,0.849,1.10,1331+3030oa
1331+4101,PG 1329+412,Q,1.930,0.70,1331+4101oa
1337+2423,IRAS13349+2438,Sy1,0.108,1.00,1337+2423oa
1337+2423,IRAS13349+2438,Sy1,0.108,1.00,1337+2423ob
1338+0432,NGC 5252,Sy1.9,0.023,2.00,1338+0432oa
1338+0432,NGC 5252,Sy1.9,0.023,2.00,1338+0432ob
1341+6740,MRK 270,Sy2,0.009,1.80,1341+6740oa
1342-0053,Q1340-0038,Q,0.326,2.10,1342-0053oa
1348+2622,QSO 1348+263,Q,0.597,1.10,1348+2622oa
1354+3139,B2 1351+31,Q,1.326,1.20,1354+3139oa
1354+1805,PG 1352+183,Q,0.152,1.80,1354+1805oa
1354+0052,PG 1352+011,Q,1.117,2.00,1354+0052oa
1405+2555,PG 1402+261,Sy1,0.164,1.40,1405+2555oa
1405+2555,PG 1402+261,Sy1,0.164,1.40,1405+2555ob
1406+2223,PG 1404+226,Sy1,0.098,2.00,1406+2223oa
1417+4456,PG 1415+451,Q,0.114,0.90,1417+4456oa
1419-1310,PG 1416-129,Q,0.129,7.20,1419-1310oa
1419+0628,3C 298,Q,1.436,2.00,1419+0628oa
1424+2256,QSO 1422+231A,Q,3.620,2.50,1424+2256oA
1424+2256,QSO 1422+231B,Q,3.620,2.50,1424+2256oB
1424+2256,QSO 1422+231C,Q,3.620,2.50,1424+2256oC
1424+2256,QSO 1422+231D,Q,3.620,2.50,1424+2256oD
1427+2632,B2 1425+267,Q,0.366,1.50,1427+2632oa
1429+4747,PG 1427+480,Q,0.221,1.60,1429+4747oa
1432-4410,NGC 5643,Sy2,0.004,8.50,1432-4410oa
1437-0147,Q1435-0134,Q,1.310,3.60,1437-0147oa
1437-0147,Q1435-0134,Q,1.310,3.60,1437-0147ob
1442+3526,MRK 478,NLS1,0.079,0.90,1442+3526oa
1442+3526,MRK 478,NLS1,0.079,0.90,1442+3526ob
1442-1715,NGC 5728,Sy2,0.009,7.60,1442-1715oa
1446+4035,PG 1444+407,Sy1,0.267,1.00,1446+4035oa
1454-3747,PKS 1451-375,Q,0.314,6.20,1454-3747oa
1504+6856,B2 1503+691,Q,0.318,2.20,1504+6856oa
1519+2346,LB 9612,Q,1.898,3.90,1519+2346oa
1519+2347,LB 9605,Q,1.834,3.90,1519+2347oa
1524+0958,PG 1522+101,Q,1.321,2.60,1524+0958oa
1526+4140,NGC 5929,Sy2,0.008,1.90,1526+4140oa
1545+4846,1543+489,Q,0.400,1.60,1545+4846oa
1559+3501,MRK 493,Sy1,0.032,2.00,1559+3501oa
1617+3222,3C 332,Sy1,0.152,2.00,1617+3222oa
1624+2345,3C 336.0,Q,0.927,4.50,1624+2345oa
1627+5522,PG 1626+554,Sy1,0.133,1.50,1627+5522oa
1629+2426,MRK 883,Sy1.9,0.038,3.80,1629+2426oa
1632+3737,PG 1630+377,Q,1.466,0.90,1632+3737oa
1642+3948,3C 345,Q,0.593,0.80,1642+3948oa
1658+0515,PKS 1656+053,Q,0.879,6.10,1658+0515oa
1716+5328,PG 1715+535,Q,1.920,2.40,1716+5328oa
1719+4858,ARP 102B,LINER,0.024,2.20,1719+4858oa
1719+4804,PG 1718+481,Q,1.084,2.10,1719+4804oa
1755+1820,NGC 6500,LINER,0.010,6.90,1755+1820oa
1800+7828,S5 1803+78,Q,0.680,3.60,1800+7828oa
1842+7946,3C 390.3,Sy1,0.056,3.60,1842+7946oa
1902+3159,3C 395,Sy1.5,0.635,11.00,1902+3159oa
1927+7358,4C 73.18,Q,0.302,7.20,1927+7358oa
1959+4044,CYGNUS A,Q,0.056,33.00,1959+4044oa
2118+2626,NGC 7052,Q,0.014,9.60,2118+2626oa
2156+0722,MRK 516,Sy1.8,0.028,4.50,2156+0722oa
2242+2943,AKN 564,Sy1.8,0.024,6.20,2242+2943oa
2253+1608,3C 454.3,Q,0.859,6.90,2253+1608oa
2254-1734,MR 2251-178,Sy1,0.068,2.70,2254-1734oa
2303+0852,NGC 7469,Sy1.2,0.016,4.80,2303+0852oa
2304+0311,PG 2302+029,Q,1.044,4.90,2304+0311oa
